UID,TERM,FGEN,GRADUATED
580558,201018,No,Yes
580678,201018,No,No
580700,201018,No,Yes
580745,201018,No,Yes
580890,201018,No,Yes
581041,201018,No,Yes
581049,201128,Yes,Yes
581128,201018,Yes,Yes
581171,201018,Yes,Yes
581193,201018,No,No
581255,201018,No,Yes
581313,201018,No,Yes
581329,201018,Yes,Yes
581383,201234,No,Yes
581552,201018,No,Yes
581553,201018,No,Yes
581732,201018,No,Yes
581903,201018,Yes,Yes
581960,201124,Yes,Yes
581964,201018,No,Yes
581968,201018,No,Yes
582013,201018,No,Yes
582153,201124,Yes,Yes
582240,201018,Yes,Yes
582254,201018,No,Yes
582274,201018,No,Yes
582279,201018,No,Yes
582323,201128,No,No
582353,201018,Yes,Yes
582402,201018,No,Yes
582413,201018,No,Yes
582471,201018,Yes,Yes
582484,201018,No,Yes
582519,201018,Yes,Yes
582558,201018,No,Yes
582743,201018,No,Yes
582779,201018,No,No
582809,201018,No,Yes
582839,201018,No,Yes
582869,201018,Yes,No
582902,201018,No,Yes
582919,201124,No,No
384328,201018,No,Yes
583002,201454,No,Yes
583054,201018,No,No
583100,201018,No,Yes
583156,201018,No,Yes
583160,201018,No,Yes
583166,201018,No,Yes
583177,201238,No,Yes
583179,201018,Yes,Yes
583189,201018,Yes,Yes
583217,201018,No,Yes
583275,201018,No,Yes
583309,201018,No,Yes
583332,201018,Yes,Yes
583351,201018,No,Yes
583387,201018,No,Yes
583399,201458,No,Yes
583402,201018,No,No
583419,201018,No,Yes
583482,201018,No,Yes
583694,201018,No,Yes
583748,201018,No,Yes
583847,201018,No,Yes
583848,201344,No,Yes
583849,201674,No,Yes
583870,201234,No,Yes
583881,201238,No,Yes
583908,201234,No,No
583961,201018,No,Yes
583972,201018,No,Yes
524083,201018,No,Yes
584019,201018,Yes,No
584032,201018,Yes,Yes
584113,201018,No,Yes
584270,201018,Yes,Yes
584271,201018,No,Yes
584274,201018,Yes,Yes
584278,201018,Yes,Yes
584301,201128,No,Yes
584320,201018,No,Yes
584398,201018,No,Yes
584403,201018,No,Yes
584418,201018,Yes,Yes
584514,201018,No,Yes
584589,201018,Yes,Yes
584683,201018,No,Yes
584709,201018,No,No
584894,201018,No,Yes
584949,201018,Yes,Yes
584994,201018,Yes,Yes
585002,201344,Yes,No
585010,201018,Yes,Yes
585017,201018,Yes,Yes
585025,201018,Yes,Yes
585058,201018,Yes,Yes
585102,201124,No,Yes
585105,201018,No,Yes
585142,201018,No,No
585144,201018,No,Yes
585172,201018,No,Yes
585191,201124,No,Yes
585198,201018,No,Yes
585213,201018,Yes,Yes
585235,201454,No,Yes
585239,201018,No,Yes
585340,201018,No,Yes
585396,201018,Yes,Yes
585418,201018,No,Yes
585524,201124,No,Yes
585660,201018,Yes,Yes
585715,201018,No,Yes
585726,201018,No,Yes
585759,201018,No,Yes
585818,201018,No,Yes
585827,201018,No,Yes
585870,201018,No,No
388013,201018,No,Yes
585917,201018,Yes,Yes
585928,201018,No,Yes
585969,201128,No,Yes
586108,201018,No,Yes
586224,201018,No,Yes
586242,201018,No,Yes
586303,201018,Yes,Yes
586357,201018,No,Yes
586362,201018,Yes,Yes
586368,201018,No,Yes
586439,201018,No,Yes
586441,201018,No,Yes
586449,202344,No,No
586515,201018,No,Yes
586648,201018,No,Yes
586664,201018,No,Yes
586756,201018,No,Yes
586784,201018,No,Yes
586916,201018,No,Yes
586917,201018,Yes,Yes
586922,201018,Yes,Yes
586946,201018,No,Yes
587045,201018,No,Yes
587054,201018,No,Yes
587171,201018,Yes,Yes
587196,201018,Yes,Yes
587246,201018,No,Yes
587269,201018,No,Yes
587271,201018,Yes,Yes
587275,201018,No,Yes
587276,201018,No,Yes
587347,201018,Yes,Yes
587358,201018,No,Yes
587359,201018,No,Yes
587390,201018,No,Yes
587419,201018,No,Yes
587473,201018,Yes,Yes
587502,201018,Yes,Yes
587576,201018,No,No
587606,201018,No,Yes
539806,201018,No,Yes
587732,201018,No,Yes
587734,201018,No,Yes
587841,201018,No,Yes
587859,201018,No,Yes
587874,201018,No,Yes
587891,201018,No,Yes
587980,201018,Yes,Yes
588004,201018,Yes,Yes
588025,201018,No,Yes
588106,201018,Yes,Yes
588112,201018,Yes,Yes
588122,201018,No,Yes
588173,201018,No,Yes
537498,201018,No,Yes
588223,201018,Yes,Yes
588256,201018,No,Yes
538137,201018,No,Yes
588358,201018,No,Yes
588364,201128,Yes,Yes
588401,201018,No,Yes
588410,201018,No,Yes
588425,201018,No,Yes
385536,201018,No,Yes
386966,201018,No,Yes
588462,201018,No,Yes
588463,201458,No,Yes
588467,201018,No,Yes
588489,201018,No,Yes
541130,201018,No,Yes
588500,201894,No,Yes
588531,201128,Yes,Yes
588529,201018,No,Yes
588568,201018,Yes,Yes
588570,201018,No,Yes
588658,201124,Yes,No
537181,201018,No,Yes
588670,201018,No,Yes
588737,201018,No,Yes
588748,201018,No,Yes
588758,201018,Yes,Yes
588840,201124,No,No
588867,201018,Yes,Yes
588874,201018,Yes,Yes
588898,201018,Yes,Yes
588906,201018,No,Yes
589080,201124,No,Yes
589119,201018,No,Yes
589173,201018,No,Yes
589260,201018,No,Yes
589267,201018,Yes,Yes
589301,201018,No,No
589303,201018,No,Yes
589327,201128,No,Yes
589345,201018,No,Yes
589369,201018,No,Yes
589504,201018,No,Yes
589539,201018,Yes,Yes
537436,201018,No,Yes
589822,201018,No,Yes
589877,201018,No,Yes
589885,201018,No,Yes
536528,201018,No,Yes
590046,201018,No,Yes
590132,201018,No,Yes
590142,201018,No,Yes
590168,201018,No,No
590182,201018,No,Yes
590204,201018,No,Yes
590242,201018,Yes,Yes
590257,201018,Yes,Yes
590288,201018,No,Yes
590329,201124,Yes,Yes
590366,201018,Yes,Yes
590378,201018,No,Yes
590384,201018,No,Yes
590491,201018,No,Yes
590520,201124,No,Yes
590596,201018,No,Yes
590600,201018,No,Yes
590601,201018,No,Yes
590697,201018,No,Yes
590775,201018,Yes,Yes
590784,201018,No,Yes
590839,201018,No,Yes
590842,201018,No,Yes
590874,201018,Yes,Yes
590923,201018,No,Yes
590948,201018,Yes,Yes
590976,201018,No,Yes
591011,201018,No,Yes
591122,201018,No,Yes
591131,201018,No,Yes
591135,201018,Yes,No
591141,201018,Yes,Yes
591144,201018,No,Yes
386750,201018,No,Yes
591208,201018,Yes,Yes
591214,201124,No,No
591215,201018,No,Yes
591225,202234,No,No
591279,201018,No,Yes
591283,201018,Yes,Yes
381175,201018,No,Yes
591499,201124,No,Yes
591502,201018,No,Yes
591584,201018,No,Yes
591647,201018,No,Yes
591714,201018,No,Yes
591735,201018,No,Yes
591751,201018,Yes,Yes
591765,201018,No,Yes
591768,201018,Yes,No
591805,201018,No,Yes
591843,201018,No,Yes
591859,201018,No,Yes
591868,201018,Yes,Yes
591869,201018,Yes,Yes
591943,201018,No,Yes
592016,201018,No,No
592018,201904,No,No
592051,201018,Yes,Yes
592057,201018,No,Yes
592149,201018,No,Yes
592194,201018,No,Yes
592276,201018,No,Yes
592350,201018,Yes,Yes
592363,201124,No,Yes
592366,201018,No,Yes
592384,201018,Yes,Yes
592445,201344,No,No
592449,201018,Yes,Yes
592461,201018,Yes,Yes
592473,201018,No,Yes
592476,201018,No,Yes
592475,201018,No,Yes
592479,201018,No,Yes
592555,202344,No,No
592573,201124,No,Yes
592596,201234,No,Yes
592598,201018,No,Yes
592604,201128,No,Yes
592614,201018,No,No
592642,201124,No,Yes
592684,201124,No,Yes
592689,201128,No,Yes
592690,201454,No,Yes
592704,201018,No,Yes
592713,201904,No,No
376308,201018,Yes,Yes
592772,201018,No,Yes
592827,201564,No,No
592836,201454,No,Yes
592932,201018,No,Yes
592935,201124,No,Yes
592938,201124,No,Yes
592944,201018,No,Yes
592990,201018,Yes,Yes
592994,201018,No,Yes
592996,202344,No,No
592998,201018,Yes,Yes
593036,201018,Yes,Yes
593075,201018,No,Yes
593088,201018,No,Yes
593090,201018,No,Yes
593093,201018,No,Yes
593127,201018,No,Yes
593138,201018,No,Yes
593139,201344,No,Yes
593230,201018,Yes,Yes
593239,201124,Yes,Yes
593309,201454,No,Yes
593336,201018,Yes,No
593360,201018,No,Yes
593364,201018,No,Yes
593399,201018,No,Yes
593480,201018,No,Yes
593493,201018,No,Yes
523044,201124,No,Yes
593591,201018,No,Yes
593592,201018,No,Yes
593594,201454,No,Yes
593610,201018,Yes,Yes
386734,201018,No,No
593925,201018,No,Yes
593989,201564,No,Yes
593996,201348,No,Yes
594001,201018,No,No
594039,201018,No,Yes
594048,201018,No,Yes
594060,201018,No,Yes
594071,201018,No,Yes
594097,201018,No,Yes
594104,201018,No,Yes
594109,201018,No,Yes
593512,201018,No,Yes
594200,201018,Yes,No
594254,201018,No,Yes
594307,201018,No,Yes
594431,201018,No,No
594455,201018,No,Yes
