UID,TERM,NON_PLU_SCHOLARSHIP,GRADUATED
634368,201344,5963.0,No
634771,201124,3250.0,Yes
634928,201018,6733.0,Yes
635082,201124,2650.0,Yes
635497,201018,1550.0,Yes
635590,201128,1700.0,Yes
635932,201124,2150.0,Yes
636062,201018,6763.0,Yes
636245,201018,3925.0,Yes
636340,201018,5638.0,Yes
636364,201128,1050.0,Yes
637027,201018,6746.0,Yes
637215,201124,328.0,Yes
637376,201018,777.0,Yes
637500,201018,7383.0,Yes
637565,201018,1600.0,Yes
637572,201124,500.0,Yes
637786,201018,4172.0,Yes
638017,201238,2700.0,Yes
638103,201018,2775.0,Yes
638165,201018,4369.0,Yes
638540,201018,6213.0,Yes
638541,201124,6982.0,Yes
638554,201124,2964.0,No
638570,201018,2971.0,Yes
639498,201128,3241.0,Yes
639505,201018,5544.0,Yes
639506,201018,1175.0,No
639583,201018,9133.0,Yes
639805,201454,6082.0,Yes
639806,201784,7494.0,Yes
639902,201124,7357.0,Yes
640101,201124,3000.0,No
640121,201018,6574.0,Yes
640153,201018,6708.0,Yes
640163,201018,2250.0,Yes
640203,201018,500.0,Yes
523057,201018,7783.0,Yes
640255,201018,1277.0,No
640322,201018,2775.0,Yes
640352,201124,500.0,Yes
640358,201018,500.0,No
640647,201018,3275.0,Yes
531575,201124,4400.0,Yes
642093,201018,7133.0,No
642182,201018,2272.0,Yes
642302,201018,500.0,Yes
642381,201018,3622.0,Yes
642460,201018,500.0,Yes
642979,201124,5923.0,No
643259,201018,6213.0,Yes
643735,201018,5866.0,Yes
644198,201018,5519.0,Yes
644296,201564,5318.0,Yes
644300,201018,500.0,Yes
644379,201234,801.0,Yes
644383,201344,1148.0,Yes
644398,201124,4793.0,Yes
644598,201018,1800.0,Yes
644601,201018,6213.0,Yes
644647,201018,4296.0,Yes
644709,201018,500.0,Yes
644752,201128,7382.0,Yes
644758,201018,6399.0,Yes
644776,201124,5035.0,Yes
644847,201124,7132.0,Yes
644886,201018,500.0,No
644926,201018,6733.0,Yes
644956,201018,3850.0,Yes
645153,201018,5479.0,Yes
645216,201128,3250.0,Yes
645279,201018,2445.0,Yes
645286,201018,7133.0,No
645317,201018,7134.0,Yes
645381,201124,7134.0,Yes
645502,201018,4763.0,Yes
645518,201018,5479.0,Yes
645530,201018,6308.0,Yes
645609,201234,1700.0,No
645618,201018,5344.0,Yes
646052,201018,6510.0,Yes
646153,201018,500.0,Yes
646227,201124,500.0,No
646534,201018,0.0,Yes
646598,201018,4526.0,Yes
646633,201018,5588.0,Yes
646709,201018,4288.0,Yes
646735,201018,2575.0,Yes
646921,201018,3625.0,Yes
646973,201018,4296.0,Yes
647031,201018,3426.0,Yes
647198,201124,5664.0,Yes
647247,201018,1175.0,No
647646,201018,3872.0,Yes
647733,201018,3275.0,Yes
647754,201018,9897.0,Yes
647796,201124,7382.0,No
647798,201018,6733.0,Yes
647909,201018,2100.0,Yes
647927,201018,777.0,Yes
648052,201018,3100.0,Yes
648271,201018,2471.0,Yes
